,Date,Hourly_Temp
0,2022-01-04,21.064583333333335
1,2022-01-05,15.375625
2,2022-01-06,19.591
3,2022-01-07,15.5445
4,2022-01-08,15.779916666666667
5,2022-01-09,16.080166666666667
6,2022-01-10,18.919166666666666
7,2022-01-11,22.9375
8,2022-01-12,22.66425
9,2022-01-13,21.227375
10,2022-01-14,21.171499999999998
11,2022-01-15,20.750666666666664
12,2022-01-16,19.140249999999998
13,2022-01-17,22.861791666666665
14,2022-01-18,21.449708333333334
15,2022-01-19,21.684749999999998
16,2022-01-20,16.132541666666665
17,2022-01-21,14.949208333333333
18,2022-01-22,18.275291666666668
19,2022-01-23,14.354208333333332
20,2022-01-24,15.274375
21,2022-01-25,21.859041666666666
22,2022-01-26,19.490958333333335
23,2022-01-27,18.751
24,2022-01-28,15.566
25,2022-01-29,19.892333333333333
26,2022-01-30,13.914333333333333
27,2022-01-31,13.207916666666668
28,2022-02-01,16.73225
29,2022-02-02,13.086166666666665
30,2022-02-03,12.495458333333334
31,2022-02-04,13.116
32,2022-02-05,13.323958333333332
33,2022-02-06,11.07125
34,2022-02-07,16.748
35,2022-02-08,22.375625
36,2022-02-09,18.521541666666668
37,2022-02-10,17.933333333333334
38,2022-02-11,23.035416666666666
39,2022-02-12,22.427833333333336
40,2022-02-13,22.136750000000003
41,2022-02-14,19.57495833333333
42,2022-02-15,23.936125
43,2022-02-16,19.028041666666667
44,2022-02-17,22.906541666666666
45,2022-02-18,21.123541666666664
46,2022-02-19,23.566625000000002
47,2022-02-20,24.01070833333333
48,2022-02-21,24.176041666666666
49,2022-02-22,25.724666666666668
50,2022-02-23,25.227041666666665
51,2022-02-24,24.865375
52,2022-02-25,25.675666666666668
53,2022-02-26,19.009
54,2022-02-27,22.419375000000002
55,2022-02-28,20.450958333333332
56,2022-03-01,26.356958333333335
57,2022-03-02,19.848666666666666
58,2022-03-03,24.788875
59,2022-03-04,25.160791666666668
60,2022-03-05,22.968083333333336
61,2022-03-06,15.376375000000001
62,2022-03-07,26.714958333333332
63,2022-03-08,26.843708333333336
64,2022-03-09,21.25275
65,2022-03-10,25.25316666666667
66,2022-03-11,17.84270833333333
67,2022-03-12,14.041708333333332
68,2022-03-13,24.960083333333333
69,2022-03-14,22.560125
70,2022-03-15,25.74625
71,2022-03-16,25.470458333333337
72,2022-03-17,21.115958333333335
73,2022-03-18,27.819458333333333
74,2022-03-19,25.613125
75,2022-03-20,22.90133333333333
76,2022-03-21,29.855249999999998
77,2022-03-22,29.51591666666667
78,2022-03-23,28.529833333333332
79,2022-03-24,21.412499999999998
80,2022-03-25,29.025666666666666
81,2022-03-26,28.97429166666667
82,2022-03-27,29.537125
83,2022-03-28,16.862083333333334
84,2022-03-29,29.803833333333333
85,2022-03-30,14.921916666666666
86,2022-03-31,28.919749999999997
87,2022-04-01,29.097624999999997
88,2022-04-02,28.165666666666667
89,2022-04-03,27.908291666666667
90,2022-04-04,23.711458333333336
91,2022-04-05,27.511791666666667
92,2022-04-06,29.597958333333334
93,2022-04-07,23.926083333333334
94,2022-04-08,22.003541666666667
95,2022-04-09,21.064541666666667
96,2022-04-10,22.147166666666667
97,2022-04-11,23.454083333333333
98,2022-04-12,31.445458333333335
99,2022-04-13,30.033375000000003
100,2022-04-14,25.39379166666667
101,2022-04-15,19.730875
102,2022-04-16,28.345208333333332
103,2022-04-17,17.876416666666668
104,2022-04-18,27.069041666666667
105,2022-04-19,30.030124999999998
106,2022-04-20,26.733375
107,2022-04-21,22.578416666666666
108,2022-04-22,26.213916666666666
109,2022-04-23,16.113541666666666
110,2022-04-24,27.373708333333337
111,2022-04-25,29.618375
112,2022-04-26,29.211125
113,2022-04-27,11.366041666666668
114,2022-04-28,14.735541666666668
115,2022-04-29,16.748208333333334
116,2022-04-30,9.788833333333333
117,2022-05-01,12.348625
118,2022-05-02,14.199291666666667
119,2022-05-03,31.070875
120,2022-05-04,31.419749999999997
121,2022-05-05,19.146333333333335
122,2022-05-06,30.36
123,2022-05-07,14.481958333333333
124,2022-05-08,13.882958333333333
125,2022-05-09,14.9865
126,2022-05-10,31.541625
127,2022-05-11,21.749708333333334
128,2022-05-12,21.610916666666668
129,2022-05-13,28.731916666666667
130,2022-05-14,27.998208333333334
131,2022-05-15,27.97045833333333
132,2022-05-16,27.566333333333333
133,2022-05-17,29.78470833333333
134,2022-05-18,20.836166666666667
135,2022-05-19,24.776541666666663
136,2022-05-20,20.336791666666667
137,2022-05-21,24.73045833333333
138,2022-05-22,17.2195
139,2022-05-23,15.21825
140,2022-05-24,28.805875
141,2022-05-25,20.007541666666665
142,2022-05-26,14.354208333333332
143,2022-05-27,19.98675
144,2022-05-28,19.304166666666667
145,2022-05-29,11.530916666666668
146,2022-05-30,24.947916666666668
147,2022-05-31,21.0955
148,2022-06-01,14.419416666666665
149,2022-06-02,20.369125
150,2022-06-03,23.377041666666667
151,2022-06-04,18.014875
152,2022-06-05,19.265333333333334
153,2022-06-06,24.104166666666668
154,2022-06-07,23.603416666666664
155,2022-06-08,20.227458333333335
156,2022-06-09,26.26391666666667
157,2022-06-10,22.15833333333333
158,2022-06-11,25.395166666666668
159,2022-06-12,24.162499999999998
160,2022-06-13,25.514208333333332
161,2022-06-14,20.024625
162,2022-06-15,14.279166666666667
163,2022-06-16,15.521833333333333
164,2022-06-17,28.31041666666667
165,2022-06-18,19.42954166666667
166,2022-06-19,15.818
167,2022-06-20,14.128458333333334
168,2022-06-21,14.380625
169,2022-06-22,9.90625
170,2022-06-23,9.042291666666666
171,2022-06-24,10.977791666666667
